,Area,longitude,latitude,Item,Element,Unit,Year,Quantity
117,Botswana,24.684866,-22.328474,"Milk, Total",Yield,hg/An,2000,10274.0
118,Botswana,24.684866,-22.328474,"Pulses, Total",Yield,hg/ha,2000,1610.0
119,Botswana,24.684866,-22.328474,"Roots and Tubers, Total",Yield,hg/ha,2000,75995.0
120,Brazil,-51.92528,-14.235004,"Cereals, Total",Yield,hg/ha,2000,26433.0
121,Brazil,-51.92528,-14.235004,"Citrus Fruit, Total",Yield,hg/ha,2000,235413.0
122,Brazil,-51.92528,-14.235004,"Milk, Total",Yield,hg/An,2000,9061.0
123,Brazil,-51.92528,-14.235004,"Pulses, Total",Yield,hg/ha,2000,7030.0
124,Brazil,-51.92528,-14.235004,"Roots and Tubers, Total",Yield,hg/ha,2000,136603.0
125,Brazil,-51.92528,-14.235004,"Treenuts, Total",Yield,hg/ha,2000,2703.0
126,Brunei,114.727669,4.535277,"Cereals, Total",Yield,hg/ha,2000,6500.0
127,Brunei,114.727669,4.535277,"Citrus Fruit, Total",Yield,hg/ha,2000,49545.0
128,Brunei,114.727669,4.535277,"Milk, Total",Yield,hg/An,2000,7401.0
129,Brunei,114.727669,4.535277,"Roots and Tubers, Total",Yield,hg/ha,2000,43787.0
130,Bulgaria,25.48583,42.733883,"Cereals, Total",Yield,hg/ha,2000,24599.0
131,Bulgaria,25.48583,42.733883,"Milk, Total",Yield,hg/An,2000,5341.0
132,Bulgaria,25.48583,42.733883,"Pulses, Total",Yield,hg/ha,2000,4599.0
133,Bulgaria,25.48583,42.733883,"Roots and Tubers, Total",Yield,hg/ha,2000,75262.0
134,Bulgaria,25.48583,42.733883,"Treenuts, Total",Yield,hg/ha,2000,9932.0
135,Burkina Faso,-1.561593,12.238333,"Cereals, Total",Yield,hg/ha,2000,8564.0
136,Burkina Faso,-1.561593,12.238333,"Citrus Fruit, Total",Yield,hg/ha,2000,62041.0
137,Burkina Faso,-1.561593,12.238333,"Milk, Total",Yield,hg/An,2000,741.0
138,Burkina Faso,-1.561593,12.238333,"Pulses, Total",Yield,hg/ha,2000,5433.0
139,Burkina Faso,-1.561593,12.238333,"Roots and Tubers, Total",Yield,hg/ha,2000,71984.0
140,Burkina Faso,-1.561593,12.238333,"Treenuts, Total",Yield,hg/ha,2000,5127.0
141,Burundi,29.918886,-3.373056,"Cereals, Total",Yield,hg/ha,2000,12282.0
142,Burundi,29.918886,-3.373056,"Milk, Total",Yield,hg/An,2000,1397.0
143,Burundi,29.918886,-3.373056,"Pulses, Total",Yield,hg/ha,2000,8430.0
144,Burundi,29.918886,-3.373056,"Roots and Tubers, Total",Yield,hg/ha,2000,68683.0
145,Burundi,29.918886,-3.373056,"Treenuts, Total",Yield,hg/ha,2000,
146,Cambodia,104.990963,12.565679,"Cereals, Total",Yield,hg/ha,2000,21336.0
147,Cambodia,104.990963,12.565679,"Citrus Fruit, Total",Yield,hg/ha,2000,64340.0
148,Cambodia,104.990963,12.565679,"Milk, Total",Yield,hg/An,2000,1998.0
149,Cambodia,104.990963,12.565679,"Pulses, Total",Yield,hg/ha,2000,6595.0
150,Cambodia,104.990963,12.565679,"Roots and Tubers, Total",Yield,hg/ha,2000,81379.0
151,Cambodia,104.990963,12.565679,"Treenuts, Total",Yield,hg/ha,2000,16250.0
152,Cameroon,12.354722,7.369722,"Cereals, Total",Yield,hg/ha,2000,17635.0
153,Cameroon,12.354722,7.369722,"Milk, Total",Yield,hg/An,2000,1120.0
154,Cameroon,12.354722,7.369722,"Pulses, Total",Yield,hg/ha,2000,8710.0
155,Cameroon,12.354722,7.369722,"Roots and Tubers, Total",Yield,hg/ha,2000,90478.0
156,Cameroon,12.354722,7.369722,"Treenuts, Total",Yield,hg/ha,2000,9953.0
157,Canada,-106.346771,56.130366,"Cereals, Total",Yield,hg/ha,2000,28057.0
158,Canada,-106.346771,56.130366,"Milk, Total",Yield,hg/An,2000,73962.0
159,Canada,-106.346771,56.130366,"Pulses, Total",Yield,hg/ha,2000,18861.0
160,Canada,-106.346771,56.130366,"Roots and Tubers, Total",Yield,hg/ha,2000,116314.0
161,Central African Rep.,20.939444,6.611111,"Cereals, Total",Yield,hg/ha,2000,9933.0
162,Central African Rep.,20.939444,6.611111,"Citrus Fruit, Total",Yield,hg/ha,2000,43667.0
163,Central African Rep.,20.939444,6.611111,"Milk, Total",Yield,hg/An,2000,2655.0
164,Central African Rep.,20.939444,6.611111,"Pulses, Total",Yield,hg/ha,2000,9616.0
165,Central African Rep.,20.939444,6.611111,"Roots and Tubers, Total",Yield,hg/ha,2000,37454.0
166,Chad,18.732207,15.454166,"Cereals, Total",Yield,hg/ha,2000,5313.0
167,Chad,18.732207,15.454166,"Milk, Total",Yield,hg/An,2000,1243.0
168,Chad,18.732207,15.454166,"Pulses, Total",Yield,hg/ha,2000,5925.0
169,Chad,18.732207,15.454166,"Roots and Tubers, Total",Yield,hg/ha,2000,89441.0
170,Chile,-71.542969,-35.675147,"Cereals, Total",Yield,hg/ha,2000,43621.0
171,Chile,-71.542969,-35.675147,"Citrus Fruit, Total",Yield,hg/ha,2000,142995.0
172,Chile,-71.542969,-35.675147,"Milk, Total",Yield,hg/An,2000,14681.0
173,Chile,-71.542969,-35.675147,"Pulses, Total",Yield,hg/ha,2000,14961.0
174,Chile,-71.542969,-35.675147,"Roots and Tubers, Total",Yield,hg/ha,2000,163158.0
175,Chile,-71.542969,-35.675147,"Treenuts, Total",Yield,hg/ha,2000,12668.0
176,China,104.195397,35.86166,"Cereals, Total",Yield,hg/ha,2000,47526.0
177,China,104.195397,35.86166,"Citrus Fruit, Total",Yield,hg/ha,2000,69030.0
178,China,104.195397,35.86166,"Milk, Total",Yield,hg/An,2000,2438.0
179,China,104.195397,35.86166,"Pulses, Total",Yield,hg/ha,2000,13980.0
180,China,104.195397,35.86166,"Roots and Tubers, Total",Yield,hg/ha,2000,174539.0
181,China,104.195397,35.86166,"Treenuts, Total",Yield,hg/ha,2000,31344.0
182,Taiwan,120.960515,23.69781,"Cereals, Total",Yield,hg/ha,2000,56224.0
183,Taiwan,120.960515,23.69781,"Citrus Fruit, Total",Yield,hg/ha,2000,139378.0
184,Taiwan,120.960515,23.69781,"Milk, Total",Yield,hg/An,2000,21712.0
185,Taiwan,120.960515,23.69781,"Pulses, Total",Yield,hg/ha,2000,13579.0
186,Taiwan,120.960515,23.69781,"Roots and Tubers, Total",Yield,hg/ha,2000,202300.0
187,Colombia,-74.297333,4.570868,"Cereals, Total",Yield,hg/ha,2000,32342.0
188,Colombia,-74.297333,4.570868,"Citrus Fruit, Total",Yield,hg/ha,2000,147313.0
189,Colombia,-74.297333,4.570868,"Milk, Total",Yield,hg/An,2000,10079.0
190,Colombia,-74.297333,4.570868,"Pulses, Total",Yield,hg/ha,2000,11484.0
191,Colombia,-74.297333,4.570868,"Roots and Tubers, Total",Yield,hg/ha,2000,110570.0
192,Colombia,-74.297333,4.570868,"Treenuts, Total",Yield,hg/ha,2000,86954.0
193,Comoros,43.872219,-11.875001,"Cereals, Total",Yield,hg/ha,2000,13223.0
194,Comoros,43.872219,-11.875001,"Milk, Total",Yield,hg/An,2000,13799.0
195,Comoros,43.872219,-11.875001,"Pulses, Total",Yield,hg/ha,2000,8017.0
196,Comoros,43.872219,-11.875001,"Roots and Tubers, Total",Yield,hg/ha,2000,50576.0
197,Congo,15.827659,-0.228021,"Cereals, Total",Yield,hg/ha,2000,7539.0
198,Congo,15.827659,-0.228021,"Citrus Fruit, Total",Yield,hg/ha,2000,66811.0
199,Congo,15.827659,-0.228021,"Milk, Total",Yield,hg/An,2000,13743.0
200,Congo,15.827659,-0.228021,"Pulses, Total",Yield,hg/ha,2000,7724.0
201,Congo,15.827659,-0.228021,"Roots and Tubers, Total",Yield,hg/ha,2000,88453.0
202,Cook Islands,-159.777671,-21.236736,"Citrus Fruit, Total",Yield,hg/ha,2000,100000.0
203,Cook Islands,-159.777671,-21.236736,"Roots and Tubers, Total",Yield,hg/ha,2000,218958.0
204,Costa Rica,-83.753428,9.748917,"Cereals, Total",Yield,hg/ha,2000,36262.0
205,Costa Rica,-83.753428,9.748917,"Citrus Fruit, Total",Yield,hg/ha,2000,153873.0
206,Costa Rica,-83.753428,9.748917,"Milk, Total",Yield,hg/An,2000,13743.0
207,Costa Rica,-83.753428,9.748917,"Pulses, Total",Yield,hg/ha,2000,5267.0
208,Costa Rica,-83.753428,9.748917,"Roots and Tubers, Total",Yield,hg/ha,2000,139738.0
209,Costa Rica,-83.753428,9.748917,"Treenuts, Total",Yield,hg/ha,2000,4556.0
210,Côte d'Ivoire,-5.54708,7.539989,"Cereals, Total",Yield,hg/ha,2000,16823.0
